"taxon","prevalence","total","I","U","R"
"Zenaida galapagoensis",0,5,0,5,0
"Coccyzus melacoryphus",0,19,0,19,0
"Myiarchus magnirostris",0.0316455696202532,158,5,152,1
"Mimus parvulus",0.198924731182796,186,37,131,18
"Certhidea olivacea",0.00806451612903226,124,1,111,12
"Platyspiza crassirostris",0.0539772727272727,352,19,208,125
"Camarhynchus parvulus",0.0794979079497908,478,38,360,80
"Camarhynchus psittacula",0.0606060606060606,33,2,23,8
"Camarhynchus pallidus",0.0373831775700935,107,4,92,11
"Geospiza magnirostris",0.08,25,2,17,6
"Geospiza fortis",0.152016546018614,967,147,588,232
"Geospiza fuliginosa",0.105038428693424,2342,246,1555,541
"Geospiza scandens",0.0748299319727891,147,11,95,41
"Setophaga petechia",0.0191938579654511,521,10,506,5
NA,0,4,0,4,0
